Step,u_nom_v,u_nom_w,u_safety_v,u_safety_w,x,y,obs_x
177,2.379127343701821,-0.6065854537933625,2.3791273437018208,-0.6065854537933625,0.1260110023932107,0.0015682066928498415,5.952642140468227
178,2.379127343701821,-0.6065854537933625,2.3791273437018203,-0.6065854537933625,0.12743473008425815,0.001596053806608734,5.952374581939799
179,2.379127343701821,-0.6065854537933625,2.379127343701821,-0.6065854537933625,0.12886645782990208,0.0016239762411972777,5.952107023411371
180,2.379127343701821,-0.6065854537933625,2.379127343701821,-0.6065854537933625,0.13030618648248085,0.0016519298982690645,5.951839464882943
181,2.379127343701821,-0.6065854537933625,2.3791273437018208,-0.6065854537933625,0.13175391689695184,0.0016798699593934532,5.951571906354515
182,2.379127343701821,-0.6065854537933625,2.3791273437018203,-0.6065854537933625,0.13320964992671136,0.0017077508859772315,5.9513043478260865
183,2.379127343701821,-0.6065854537933625,2.3791273437018217,-0.6065854537933625,0.13467338641930657,0.0017355264191865629,5.951036789297659
184,2.379127343701821,-0.6065854537933625,2.3791273437018217,-0.6065854537933625,0.1361451272120394,0.0017631495798698918,5.950769230769231
185,2.379127343701821,-0.6065854537933625,2.379127343701821,-0.6065854537933625,0.13762487312746235,0.0017905726684825005,5.950501672240803
186,2.379127343701821,-0.6065854537933625,2.3791273437018203,-0.6065854537933625,0.13911262496876634,0.001817747265013435,5.950234113712375
187,2.379127343701821,-0.6065854537933625,2.379127343701822,-0.6065854537933625,0.1406083835150603,0.0018446242289155389,5.949966555183947
188,2.379127343701821,-0.6065854537933625,2.379127343701821,-0.6065854537933625,0.14211214951654288,0.001871153699039359,5.949698996655519
189,2.379127343701821,-0.6065854537933625,2.379127343701821,-0.6065854537933625,0.14362392368956603,0.0018972850935717064,5.949431438127091
190,2.379127343701821,-0.6065854537933625,2.3791273437018203,-0.6065854537933625,0.1451437067115903,0.001922967109979683,5.949163879598662
191,2.379127343701821,-0.6065854537933625,2.379127343701821,-0.6065854537933625,0.14667149921603231,0.0019481477249609998,5.948896321070234
192,2.379127343701821,-0.6065854537933625,2.3791273437018217,-0.6065854537933625,0.1482073017870039,0.001972774194401445,5.948628762541806
193,2.379127343701821,-0.6065854537933625,2.3791273437018208,-0.6065854537933625,0.14975111495394322,0.0019967930533403766,5.948361204013378
194,2.379127343701821,-0.6065854537933625,2.379127343701821,-0.6065854537933625,0.15130293918613785,0.002020150115945133,5.94809364548495
195,2.379127343701821,-0.6065854537933625,2.379127343701821,-0.6065854537933625,0.15286277488713954,0.0020427904754952916,5.947826086956522
196,2.379127343701821,-0.6065854537933625,2.379127343701821,-0.6065854537933625,0.15443062238907102,0.0020646585043777132,5.947558528428094
197,2.379127343701821,-0.6065854537933625,2.3791273437018217,-0.6065854537933625,0.15600648194682468,0.0020856978540933404,5.947290969899665
198,2.379127343701821,-0.6065854537933625,2.3791273437018217,-0.6065854537933625,0.15759035332723162,0.002105883252970939,5.947023411371237
199,2.379127343701821,-0.6065854537933625,2.379127343701821,-0.6065854537933625,0.1591822360711913,0.0021252049890047773,5.946755852842809
200,0.49267463272185036,1.2151508663902812,0.4926746327218503,1.2151508663902812,0.16078212971076883,0.002143653350433668,5.946488294314381
201,0.49267463272185036,1.2151508663902812,0.4926746327218503,1.2151508663902812,0.16237403472383746,0.0021610438468892632,5.946220735785953
202,0.49267463272185036,1.2151508663902812,0.49267463272185036,1.2151508663902812,0.1639579499276613,0.002177433694223878,5.945953177257525
203,0.49267463272185036,1.2151508663902812,0.49267463272185036,1.2151508663902812,0.1655338742375488,0.0021928793895978228,5.945685618729097
204,0.49267463272185036,1.2151508663902812,0.4926746327218503,1.2151508663902812,0.16710180666096003,0.0022074367113226693,5.9454180602006685
205,0.49267463272185036,1.2151508663902812,0.49267463272185025,1.2151508663902812,0.16866174629172173,0.0022211607187194123,5.945150501672241
